,GEOID,NAME,RiskFactor1_percent,IncomePoverty_ratio,Total,Occupants_Above1,Occupants_Above1_point5,Married_Above65,NoSpouse_MaleHH_Above65,NoSpouse_FemaleHH_Above65,Living_Alone,RiskFactor3_percent,RiskFactor2_percent,LanguageBarrier_Total,RiskFactor4a_percent,EducationalBarrier_Total,RiskFactor4b_percent,Above16_Unemployed_Total,RiskFactor5_percent,Disability_Total,RiskFactor6_percent,Total_Uninsured,RiskFactor7_percent,pop_64above_total,RiskFactor8_percent
705,17031810301,"Census Tract 8103.01, Cook County, Illinois",14.3,3.636156648,1459,11,22,154,18,31,374,2.261823167,39.54763537,60,4.1,389,11.69573061,112,3.3,406,9.4,329,7.6,188,4.244750508
706,17031811401,"Census Tract 8114.01, Cook County, Illinois",20.6,3.146493625,1603,36,7,125,0,44,469,2.682470368,39.8003743,134,8.4,575,16.05248465,185,5.1,551,12.3,191,4.3,386,8.59688196
707,17031820000,"Census Tract 8200, Cook County, Illinois",5.2,10.38820583,656,7,0,94,22,13,65,1.067073171,29.57317073,3,0.5,2,0.138985407,67,4.4,122,5.5,78,3.5,135,6.094808126
708,17031411100,"Census Tract 4111, Cook County, Illinois",15.6,5.2178051,848,0,0,119,5,7,309,0,51.88679245,23,2.7,50,2.553626149,46,2.3,121,5.2,21,0.9,161,6.909871245
709,17031420200,"Census Tract 4202, Cook County, Illinois",45.3,1.329918033,619,14,0,0,16,12,289,2.261712439,51.21163166,0,0,173,14.40466278,44,3.5,218,13.2,35,2.1,26,1.51780502
710,17031827700,"Census Tract 8277, Cook County, Illinois",29.3,1.955327869,927,44,0,49,0,59,284,4.746494067,42.28694714,26,2.8,273,13.38891614,209,9.4,322,11.4,280,9.9,50,1.758087201
711,17031827902,"Census Tract 8279.02, Cook County, Illinois",25.3,2.426593807,1705,5,27,137,9,8,543,1.876832845,40.8797654,64,3.8,368,11.36504015,290,8.2,396,9,334,7.6,234,5.341246291
712,17031828100,"Census Tract 8281, Cook County, Illinois",26.2,2.36643898,1940,0,0,160,0,24,606,0,40.72164948,74,3.8,538,13.83033419,245,6.1,271,5.1,551,10.4,285,5.385487528
713,17031828602,"Census Tract 8286.02, Cook County, Illinois",10.9,4.234972678,1470,9,0,158,12,121,267,0.612244898,37.95918367,9,0.6,201,5.875475007,83,2.3,499,11.4,161,3.7,200,4.399472063
714,17031824701,"Census Tract 8247.01, Cook County, Illinois",22.5,3.082058288,1396,0,0,144,0,12,394,0,39.3982808,32,2.3,307,9.755322529,135,4,473,11.5,169,4.1,174,4.22125182
715,17031825200,"Census Tract 8252, Cook County, Illinois",10.6,3.628779599,708,0,0,85,17,37,87,0,31.92090395,35,4.9,305,18.36243227,54,3.2,268,12.3,189,8.7,138,6.272727273
716,17031825801,"Census Tract 8258.01, Cook County, Illinois",23.4,2.025045537,1337,57,28,31,14,82,453,6.357516829,43.38070307,0,0,244,9.886547812,352,13.7,497,14.7,410,12.1,99,2.931596091
717,17031130200,"Census Tract 1302, Cook County, Illinois",14.9,3.455145719,655,5,0,57,0,35,241,0.763358779,50.83969466,36,5.5,98,7.858861267,25,1.9,201,12.8,41,2.6,81,5.155951623
718,17031803005,"Census Tract 8030.05, Cook County, Illinois",16.7,3.386839709,1034,0,0,109,0,8,359,0,46.03481625,99,9.6,31,1.584867076,68,3.3,270,10.9,115,4.6,225,9.090909091
719,17031803300,"Census Tract 8033, Cook County, Illinois",15.1,4.958606557,2617,63,0,256,35,15,981,2.407336645,49.17844861,308,11.8,255,5.498059508,111,2.3,404,7.2,353,6.3,380,6.745961299
720,17031803605,"Census Tract 8036.05, Cook County, Illinois",10.7,3.579735883,2646,49,0,287,0,14,543,1.851851852,31.89720333,179,6.8,392,6.940509915,168,2.9,585,8.1,922,12.7,472,6.496008808
721,17031271800,"Census Tract 2718, Cook County, Illinois",66,0.863023679,232,34,18,6,0,24,70,22.4137931,43.10344828,14,6,83,17.43697479,14,2.9,78,10.7,87,11.9,6,0.821917808
722,17031280800,"Census Tract 2808, Cook County, Illinois",55.6,0.823178506,356,15,17,9,8,6,216,8.988764045,67.13483146,0,0,117,17.86259542,57,8.5,226,29.5,53,6.9,93,11.83206107
723,17031280900,"Census Tract 2809, Cook County, Illinois",66.7,0.800045537,348,26,0,3,0,0,93,7.471264368,27.5862069,0,0,52,9.471766849,92,16.1,83,9.3,39,4.4,12,1.348314607
724,17031281900,"Census Tract 2819, Cook County, Illinois",15.6,4.968306011,3659,31,283,42,0,10,1869,8.581579667,52.50068325,285,7.8,59,1.045357902,78,1.4,188,3,260,4.2,89,1.430638161
725,17031291200,"Census Tract 2912, Cook County, Illinois",55.6,1.008788707,763,14,14,14,20,40,191,3.669724771,34.73132372,9,1.2,299,20.73509015,154,10,251,11.8,237,11.2,48,2.259887006
726,17031803902,"Census Tract 8039.02, Cook County, Illinois",6.9,4.132513661,1238,37,0,115,23,17,345,2.988691438,40.38772213,22,1.8,336,12.70321361,29,1.1,385,11.6,104,3.1,187,5.542382928
727,17031804104,"Census Tract 8041.04, Cook County, Illinois",6.1,5.303551913,1712,5,0,217,8,19,287,0.292056075,31.01635514,176,10.3,85,2.395715896,135,3.7,261,5.5,62,1.3,281,5.866388309
728,17031804105,"Census Tract 8041.05, Cook County, Illinois",6.3,6.002777778,1279,0,0,275,10,8,141,0,33.93275997,30,2.3,95,3.286060187,27,0.9,189,4.9,12,0.3,308,7.948387097
729,17031804202,"Census Tract 8042.02, Cook County, Illinois",7,6.028096539,2619,67,0,542,18,17,374,2.558228331,36.3115693,95,3.6,387,7.208046191,38,0.7,562,7.7,254,3.5,639,8.779884584
730,17031804805,"Census Tract 8048.05, Cook County, Illinois",9.4,3.911885246,2367,28,0,334,0,67,522,1.182931981,38.99450782,91,3.8,343,6.87099359,74,1.4,621,9.6,437,6.7,417,6.434192254
731,17031040800,"Census Tract 408, Cook County, Illinois",7.1,3.896948998,776,0,0,57,0,11,309,0,48.58247423,22,2.8,108,7.5,28,1.9,99,6.2,61,3.8,76,4.494382022
732,17031222900,"Census Tract 2229, Cook County, Illinois",16.5,2.272313297,328,8,5,33,0,4,83,3.963414634,36.58536585,24,7.3,184,23.17380353,18,2.2,92,9.2,75,7.5,44,4.378109453
733,17031030200,"Census Tract 302, Cook County, Illinois",12.6,3.389526412,2610,17,0,136,0,53,1165,0.651340996,51.87739464,134,5.1,324,6.52830949,193,3.8,547,9.6,220,3.9,267,4.68256752
734,17031061100,"Census Tract 611, Cook County, Illinois",3.1,5.350637523,622,0,0,12,0,0,220,0,37.29903537,6,1,6,0.481927711,5,0.4,33,2.4,47,3.4,28,2.046783626
735,17031283200,"Census Tract 2832, Cook County, Illinois",27.5,3.349635701,660,14,5,18,0,22,234,2.878787879,41.51515152,13,2,53,4.070660522,51,3.9,132,8.1,54,3.3,35,2.15782984
736,17031510300,"Census Tract 5103, Cook County, Illinois",44.7,1.300591985,2000,52,0,139,16,184,852,2.6,59.55,36,1.8,601,16.16460463,608,15.7,876,18.3,149,3.1,334,6.933776209
